Detailed Statistics Cancellation  
Origin Airport: Denver, CO: Denver International (DEN)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AA","01/02/2003","3140","","STL"
"AA","01/12/2003","1100","","DFW"
"AA","01/13/2003","0640","","DFW"
"AA","01/28/2003","1226","","ORD"
"AA","01/28/2003","1656","","ORD"
"AA","02/02/2003","1188","","ORD"
"AA","02/03/2003","1208","","ORD"
"AA","02/04/2003","1208","","ORD"
"AA","02/07/2003","3038","","STL"
"AA","02/24/2003","1330","","DFW"
"AA","02/25/2003","0640","","DFW"
"AA","02/25/2003","1086","","DFW"
"AA","02/25/2003","1244","","DFW"
"AA","02/25/2003","1820","","DFW"
"AA","02/25/2003","2932","","DFW"
"AA","02/26/2003","1086","","DFW"
"AA","02/26/2003","1182","","DFW"
"AA","02/26/2003","1244","","DFW"
"AA","03/04/2003","2022","","ORD"
"AA","03/05/2003","1162","","MIA"
"AA","03/06/2003","1208","","ORD"
"AA","03/18/2003","0316","","DFW"
"AA","03/18/2003","0432","","DFW"
"AA","03/18/2003","0562","","ORD"
"AA","03/18/2003","0640","","DFW"
"AA","03/18/2003","1006","","MIA"
"AA","03/18/2003","1182","","DFW"
"AA","03/18/2003","1188","","ORD"
"AA","03/18/2003","1208","","ORD"
"AA","03/18/2003","1226","","ORD"
"AA","03/18/2003","1330","","DFW"
"AA","03/18/2003","1467","","LAX"
"AA","03/18/2003","1497","","LAX"
"AA","03/18/2003","1820","","DFW"
"AA","03/18/2003","2022","","ORD"
"AA","03/18/2003","2928","","STL"
"AA","03/18/2003","2932","","DFW"
"AA","03/18/2003","3014","","STL"
"AA","03/18/2003","3038","","STL"
"AA","03/18/2003","3170","","STL"
"AA","03/19/2003","0316","","DFW"
"AA","03/19/2003","0432","","DFW"
"AA","03/19/2003","0562","","ORD"
"AA","03/19/2003","0640","","DFW"
"AA","03/19/2003","1006","","MIA"
"AA","03/19/2003","1086","","DFW"
"AA","03/19/2003","1162","","MIA"
"AA","03/19/2003","1182","","DFW"
"AA","03/19/2003","1188","","ORD"
"AA","03/19/2003","1208","","ORD"
"AA","03/19/2003","1226","","ORD"
"AA","03/19/2003","1244","","DFW"
"AA","03/19/2003","1330","","DFW"
"AA","03/19/2003","1467","","LAX"
"AA","03/19/2003","1469","","LAX"
"AA","03/19/2003","1497","","LAX"
"AA","03/19/2003","1656","","ORD"
"AA","03/19/2003","1820","","DFW"
"AA","03/19/2003","2022","","ORD"
"AA","03/19/2003","2928","","STL"
"AA","03/19/2003","2932","","DFW"
"AA","03/19/2003","2958","","STL"
"AA","03/19/2003","3014","","STL"
"AA","03/19/2003","3038","","STL"
"AA","03/19/2003","3170","","STL"
"AA","03/20/2003","0316","","DFW"
"AA","03/20/2003","0432","","DFW"
"AA","03/20/2003","0640","","DFW"
"AA","03/20/2003","1162","","MIA"
"AA","03/20/2003","1182","","DFW"
"AA","03/20/2003","1188","","ORD"
"AA","03/20/2003","1208","","ORD"
"AA","03/20/2003","1226","","ORD"
"AA","03/20/2003","1244","","DFW"
"AA","03/20/2003","1467","","LAX"
"AA","03/20/2003","1469","","LAX"
"AA","03/20/2003","1497","","LAX"
"AA","03/20/2003","1656","","ORD"
"AA","03/20/2003","1820","","DFW"
"AA","03/20/2003","2928","","STL"
"AA","03/20/2003","3170","","STL"
"AA","03/27/2003","3038","","STL"
"AA","04/04/2003","1244","","DFW"
"AA","04/04/2003","2022","","ORD"
"AA","04/06/2003","0625","","MIA"
"AA","04/06/2003","0712","","DFW"
"AA","04/06/2003","1820","","DFW"
"AA","04/17/2003","1188","","ORD"
"AA","04/25/2003","1820","","DFW"
"AA","04/30/2003","1208","","ORD"
"AA","04/30/2003","2958","","STL"
"AA","05/02/2003","1086","","DFW"
"AA","05/10/2003","1497","","LAX"
"AA","05/11/2003","2014","","ORD"
"AA","05/25/2003","1497","","LAX"
"AA","05/28/2003","2014","","ORD"
"AA","05/31/2003","1122","","ORD"
"AA","06/13/2003","1182","","DFW"
"AA","07/07/2003","0562","","ORD"
"AA","07/08/2003","2014","","ORD"
"AA","07/09/2003","1497","","LAX"
"AA","07/11/2003","2848","","DFW"
