Detailed Statistics Cancellation  
Origin Airport: Denver, CO: Denver International (DEN)
Airline: Delta Airlines Inc. (DL)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"DL","01/16/2003","2120","N660DL","CVG"
"DL","01/28/2003","0910","N909DL","DFW"
"DL","02/05/2003","1275","N130DL","SLC"
"DL","02/06/2003","0910","N971DL","DFW"
"DL","02/07/2003","1073","N951WP","SLC"
"DL","02/09/2003","1936","N303WA","SLC"
"DL","02/12/2003","1275","N127DL","SLC"
"DL","02/15/2003","0626","N918DE","CVG"
"DL","02/17/2003","1137","N383DN","SLC"
"DL","02/18/2003","1073","N304WA","SLC"
"DL","03/10/2003","0320","N906DL","ATL"
"DL","03/12/2003","0884","N669DN","ATL"
"DL","03/18/2003","0244","N3763D","ATL"
"DL","03/18/2003","0320","N918DL","ATL"
"DL","03/18/2003","0482","N757AT","CVG"
"DL","03/18/2003","0626","N946DL","CVG"
"DL","03/18/2003","0664","N918DL","ATL"
"DL","03/18/2003","0884","N647DL","ATL"
"DL","03/18/2003","0952","N105DA","ATL"
"DL","03/18/2003","0964","N907DL","CVG"
"DL","03/18/2003","1073","N302WA","SLC"
"DL","03/18/2003","1275","N139DL","SLC"
"DL","03/18/2003","1642","N658DL","SLC"
"DL","03/18/2003","1936","N952WP","SLC"
"DL","03/18/2003","2120","N608DA","CVG"
"DL","03/18/2003","2236","N989DL","DFW"
"DL","03/19/2003","0244","N3763D","ATL"
"DL","03/19/2003","0320","N941DL","ATL"
"DL","03/19/2003","0432","N6716C","ATL"
"DL","03/19/2003","0482","N679DA","CVG"
"DL","03/19/2003","0626","N932DL","CVG"
