Detailed Statistics Cancellation  
Origin Airport: Denver, CO: Denver International (DEN)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","01/06/2003","1692","","DFW"
"UA","01/07/2003","0252","","ORD"
"UA","01/09/2003","0401","","PHX"
"UA","01/09/2003","0551","","SFO"
"UA","01/17/2003","1216","","BOS"
"UA","01/22/2003","1072","","TUL"
"UA","01/22/2003","1165","","BOI"
"UA","01/23/2003","0418","","EWR"
"UA","01/23/2003","0962","","IAD"
"UA","01/23/2003","0966","","ORD"
"UA","01/28/2003","0311","","SEA"
"UA","01/30/2003","0426","","EWR"
"UA","02/01/2003","0405","","SNA"
"UA","02/01/2003","0958","","ORD"
"UA","02/02/2003","0531","","HDN"
"UA","02/02/2003","1263","","SJC"
"UA","02/07/2003","0402","","LGA"
"UA","02/07/2003","0422","","EWR"
"UA","02/08/2003","1615","","SFO"
"UA","02/11/2003","0616","","ORD"
"UA","02/12/2003","0958","","ORD"
"UA","02/15/2003","0535","","SFO"
"UA","02/15/2003","1520","","DSM"
"UA","02/15/2003","1560","","DSM"
"UA","02/16/2003","0390","","PHL"
"UA","02/16/2003","0406","","LGA"
"UA","02/16/2003","0410","","LGA"
"UA","02/16/2003","0426","","EWR"
"UA","02/16/2003","0430","","EWR"
"UA","02/16/2003","0488","","PHL"
"UA","02/16/2003","0531","N337UA","HDN"
"UA","02/16/2003","0554","","IAD"
"UA","02/16/2003","0718","","BWI"
"UA","02/16/2003","0756","","PHL"
"UA","02/16/2003","0962","","IAD"
"UA","02/16/2003","1070","","IAD"
"UA","02/16/2003","1146","","PHL"
"UA","02/16/2003","1240","","IAD"
"UA","02/16/2003","1260","","IAD"
"UA","02/16/2003","1272","","BWI"
"UA","02/16/2003","1510","","IAD"
"UA","02/16/2003","1532","","IAD"
"UA","02/16/2003","1618","","BWI"
"UA","02/16/2003","1620","","BWI"
"UA","02/16/2003","1691","","JAC"
"UA","02/16/2003","1772","","BWI"
"UA","02/16/2003","1790","","ORD"
"UA","02/17/2003","0348","","BOS"
"UA","02/17/2003","0354","","BOS"
"UA","02/17/2003","0390","","PHL"
"UA","02/17/2003","0404","","LGA"
"UA","02/17/2003","0406","","LGA"
"UA","02/17/2003","0410","","LGA"
"UA","02/17/2003","0412","","LGA"
"UA","02/17/2003","0414","","LGA"
"UA","02/17/2003","0418","","EWR"
"UA","02/17/2003","0422","","EWR"
"UA","02/17/2003","0426","","EWR"
"UA","02/17/2003","0430","","EWR"
"UA","02/17/2003","0488","","PHL"
"UA","02/17/2003","0718","","BWI"
"UA","02/17/2003","0726","","BOS"
"UA","02/17/2003","0744","N592UA","BOS"
"UA","02/17/2003","0756","","PHL"
"UA","02/17/2003","0906","","EWR"
"UA","02/17/2003","0962","","IAD"
"UA","02/17/2003","1104","","IAD"
"UA","02/17/2003","1146","","PHL"
"UA","02/17/2003","1216","","BOS"
"UA","02/17/2003","1240","","IAD"
"UA","02/17/2003","1272","","BWI"
"UA","02/17/2003","1289","","LAX"
"UA","02/17/2003","1510","","IAD"
"UA","02/17/2003","1532","","IAD"
"UA","02/17/2003","1618","","BWI"
"UA","02/17/2003","1620","","BWI"
"UA","02/18/2003","0390","","PHL"
"UA","02/19/2003","1263","","SJC"
"UA","02/22/2003","0531","","HDN"
"UA","02/23/2003","0531","","HDN"
"UA","02/25/2003","0706","","SAT"
"UA","02/25/2003","1558","","SAT"
"UA","02/25/2003","1608","","SAT"
"UA","02/26/2003","0403","","SNA"
"UA","02/26/2003","1260","","IAD"
"UA","03/02/2003","0385","N910UA","COS"
"UA","03/03/2003","1691","N846UA","JAC"
"UA","03/04/2003","0240","","ORD"
"UA","03/04/2003","0252","","ORD"
"UA","03/04/2003","0256","","ORD"
"UA","03/04/2003","0264","","ORD"
"UA","03/04/2003","0391","","ABQ"
"UA","03/04/2003","0942","","ORD"
"UA","03/04/2003","1280","","STL"
"UA","03/05/2003","0242","","ORD"
"UA","03/05/2003","1178","","AUS"
"UA","03/05/2003","1591","","SLC"
"UA","03/06/2003","1691","","JAC"
"UA","03/10/2003","0549","","SFO"
"UA","03/12/2003","0414","","LGA"
"UA","03/12/2003","0418","","EWR"
"UA","03/18/2003","0043","","HNL"
"UA","03/18/2003","0242","","ORD"
"UA","03/18/2003","0248","","ORD"
"UA","03/18/2003","0249","","SLC"
"UA","03/18/2003","0250","","ORD"
"UA","03/18/2003","0252","","ORD"
"UA","03/18/2003","0253","","SFO"
"UA","03/18/2003","0256","","ORD"
"UA","03/18/2003","0264","","ORD"
"UA","03/18/2003","0266","N181UA","ORD"
"UA","03/18/2003","0268","","ORD"
"UA","03/18/2003","0317","","SNA"
"UA","03/18/2003","0318","","OMA"
"UA","03/18/2003","0325","","BIL"
"UA","03/18/2003","0329","","SAN"
"UA","03/18/2003","0348","N512UA","BOS"
"UA","03/18/2003","0354","","BOS"
"UA","03/18/2003","0361","","JAC"
"UA","03/18/2003","0362","","MCI"
"UA","03/18/2003","0369","","PDX"
"UA","03/18/2003","0373","","LAX"
"UA","03/18/2003","0376","","DTW"
"UA","03/18/2003","0384","","OKC"
"UA","03/18/2003","0390","","PHL"
"UA","03/18/2003","0403","","SNA"
"UA","03/18/2003","0405","","SNA"
"UA","03/18/2003","0406","","LGA"
"UA","03/18/2003","0409","","OAK"
"UA","03/18/2003","0410","","LGA"
"UA","03/18/2003","0411","","LAX"
"UA","03/18/2003","0412","","LGA"
"UA","03/18/2003","0415","","SJC"
"UA","03/18/2003","0422","","EWR"
"UA","03/18/2003","0425","","ABQ"
"UA","03/18/2003","0426","","EWR"
"UA","03/18/2003","0430","","BOS"
"UA","03/18/2003","0435","","OAK"
"UA","03/18/2003","0437","","ABQ"
"UA","03/18/2003","0447","","SEA"
"UA","03/18/2003","0448","","ATL"
"UA","03/18/2003","0449","","BIL"
"UA","03/18/2003","0450","","DFW"
"UA","03/18/2003","0461","","SJC"
"UA","03/18/2003","0466","","MCI"
"UA","03/18/2003","0475","","ONT"
"UA","03/18/2003","0485","","ABQ"
"UA","03/18/2003","0486","","MSP"
"UA","03/18/2003","0488","","PHL"
"UA","03/18/2003","0489","","SJC"
"UA","03/18/2003","0512","","MIA"
"UA","03/18/2003","0531","","HDN"
"UA","03/18/2003","0544","","OMA"
"UA","03/18/2003","0545","","SJC"
"UA","03/18/2003","0547","","COS"
"UA","03/18/2003","0549","","SFO"
"UA","03/18/2003","0554","","IAD"
"UA","03/18/2003","0563","","ONT"
"UA","03/18/2003","0572","","MSP"
"UA","03/18/2003","0574","","STL"
"UA","03/18/2003","0579","","LAS"
"UA","03/18/2003","0598","","MCI"
"UA","03/18/2003","0702","","COS"
"UA","03/18/2003","0706","","SAT"
"UA","03/18/2003","0710","","ICT"
"UA","03/18/2003","0718","","BWI"
"UA","03/18/2003","0726","","EWR"
"UA","03/18/2003","0740","","TPA"
"UA","03/18/2003","0756","","PHL"
"UA","03/18/2003","0787","","LAS"
"UA","03/18/2003","0795","","ABQ"
"UA","03/18/2003","0876","","ORD"
"UA","03/18/2003","0906","","EWR"
"UA","03/18/2003","0942","","ORD"
"UA","03/18/2003","0945","","SEA"
"UA","03/18/2003","0958","","ORD"
"UA","03/18/2003","0962","N778UA","IAD"
"UA","03/18/2003","0966","","ORD"
"UA","03/18/2003","1026","","DSM"
"UA","03/18/2003","1036","","STL"
"UA","03/18/2003","1059","","RNO"
"UA","03/18/2003","1061","","COS"
