Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AA","01/11/2003","0019","","LAX"
"AA","01/11/2003","1899","","STT"
"AA","01/13/2003","0423","","MIA"
"AA","01/14/2003","0423","","MIA"
"AA","01/18/2003","0117","","LAX"
"AA","01/19/2003","1899","","STT"
"AA","01/23/2003","1751","","SJU"
"AA","01/24/2003","0059","","SFO"
"AA","01/24/2003","0117","","LAX"
"AA","01/24/2003","1473","","SJU"
"AA","01/27/2003","1473","","SJU"
"AA","01/28/2003","1473","","SJU"
"AA","01/29/2003","0033","","LAX"
"AA","01/29/2003","0287","","OAK"
"AA","01/29/2003","1473","","SJU"
"AA","01/29/2003","1899","","STT"
"AA","01/29/2003","2215","","STL"
"AA","01/31/2003","1751","","SJU"
"AA","02/01/2003","0423","","MIA"
"AA","02/01/2003","1751","","SJU"
"AA","02/03/2003","0647","","SJU"
"AA","02/04/2003","0647","","SJU"
"AA","02/07/2003","0033","","LAX"
"AA","02/07/2003","0045","","SFO"
"AA","02/07/2003","0117","","LAX"
"AA","02/07/2003","0287","","OAK"
"AA","02/07/2003","2215","","STL"
"AA","02/10/2003","0045","","SFO"
"AA","02/10/2003","0117","","LAX"
"AA","02/10/2003","1617","","MCO"
"AA","02/10/2003","1639","","SJU"
"AA","02/10/2003","1829","","STL"
"AA","02/16/2003","0021","","LAX"
"AA","02/16/2003","0423","","MIA"
"AA","02/17/2003","0001","","LAX"
"AA","02/17/2003","0003","","LAX"
"AA","02/17/2003","0019","","LAX"
"AA","02/17/2003","0021","","LAX"
"AA","02/17/2003","0045","","SFO"
"AA","02/17/2003","0059","","SFO"
"AA","02/17/2003","0117","","LAX"
"AA","02/17/2003","0127","","SAN"
"AA","02/17/2003","0133","","LAX"
"AA","02/17/2003","0177","","SFO"
"AA","02/17/2003","0185","","LAX"
"AA","02/17/2003","0231","","SJC"
"AA","02/17/2003","0257","","OAK"
"AA","02/17/2003","0287","","OAK"
"AA","02/17/2003","0289","","SEA"
"AA","02/17/2003","0293","","LGB"
"AA","02/17/2003","0299","","LGB"
"AA","02/17/2003","0423","","MIA"
"AA","02/17/2003","0647","","SJU"
"AA","02/17/2003","0655","","STT"
"AA","02/17/2003","0699","","SJU"
"AA","02/17/2003","1165","","MIA"
"AA","02/17/2003","1169","","SJU"
"AA","02/17/2003","1295","","DFW"
"AA","02/17/2003","1309","","DFW"
"AA","02/17/2003","1411","","MIA"
"AA","02/17/2003","1473","","SJU"
"AA","02/17/2003","1609","","MCO"
"AA","02/17/2003","1617","","MCO"
"AA","02/17/2003","1635","","SJU"
"AA","02/17/2003","1639","","SJU"
"AA","02/17/2003","1751","","SJU"
"AA","02/17/2003","1819","","MIA"
"AA","02/17/2003","1829","","STL"
"AA","02/17/2003","1851","","MCO"
"AA","02/17/2003","1899","","STT"
"AA","02/17/2003","2215","","STL"
"AA","02/18/2003","0001","","LAX"
"AA","02/18/2003","0033","","LAX"
"AA","02/18/2003","0059","","SFO"
"AA","02/18/2003","0289","","SEA"
"AA","02/18/2003","0299","","LGB"
"AA","02/18/2003","1291","","MIA"
"AA","02/18/2003","1295","","DFW"
"AA","02/18/2003","1473","","SJU"
"AA","02/18/2003","2215","","STL"
"AA","02/23/2003","0015","","SFO"
"AA","02/23/2003","2215","","STL"
"AA","03/02/2003","0185","","LAX"
"AA","03/03/2003","0117","","LAX"
"AA","03/05/2003","0185","","LAX"
"AA","03/05/2003","0655","","STT"
"AA","03/06/2003","0021","","LAX"
"AA","03/06/2003","0177","","SFO"
"AA","03/06/2003","0287","","SJC"
"AA","03/06/2003","0293","","LGB"
"AA","03/06/2003","1639","","SJU"
"AA","03/06/2003","1829","","STL"
"AA","03/07/2003","0185","","LAX"
"AA","03/17/2003","0185","","LAX"
"AA","03/18/2003","0019","","LAX"
"AA","03/28/2003","0185","","LAX"
"AA","04/02/2003","0117","","LAX"
"AA","04/06/2003","0655","","STT"
"AA","04/07/2003","0021","","LAX"
"AA","04/07/2003","0045","","SFO"
"AA","04/07/2003","0117","","LAX"
"AA","04/07/2003","0127","","SAN"
"AA","04/07/2003","0133","","LAX"
"AA","04/07/2003","0231","","SJC"
"AA","04/07/2003","0241","","LGB"
"AA","04/07/2003","0271","","SNA"
"AA","04/07/2003","0423","","MIA"
"AA","04/07/2003","0647","","SJU"
"AA","04/07/2003","0655","","STT"
"AA","04/07/2003","1309","","DFW"
"AA","04/07/2003","1617","","MCO"
"AA","04/07/2003","1639","","SJU"
"AA","04/07/2003","1829","","STL"
"AA","04/08/2003","0001","","LAX"
"AA","04/08/2003","1473","","SJU"
"AA","04/10/2003","1829","","STL"
"AA","04/23/2003","0241","","LGB"
"AA","04/24/2003","0273","","SNA"
"AA","05/01/2003","0033","","LAX"
"AA","05/01/2003","0293","","LGB"
"AA","05/08/2003","0273","","SNA"
"AA","05/10/2003","0299","","LGB"
"AA","05/20/2003","0033","","LAX"
"AA","05/28/2003","0423","","MIA"
"AA","06/06/2003","0273","","SNA"
"AA","06/07/2003","0423","","MIA"
"AA","06/21/2003","0117","","LAX"
"AA","06/29/2003","0021","","LAX"
"AA","07/08/2003","0651","","MIA"
"AA","07/16/2003","0117","","LAX"
"AA","07/21/2003","1639","","SJU"
"AA","08/06/2003","0059","","SFO"
"AA","08/14/2003","0021","","LAX"
"AA","08/14/2003","0029","","LAX"
"AA","08/14/2003","0045","","SFO"
"AA","08/14/2003","0127","","SAN"
"AA","08/14/2003","0133","","LAX"
"AA","08/14/2003","0177","","SFO"
"AA","08/14/2003","0185","","LAX"
"AA","08/14/2003","0231","","SJC"
"AA","08/14/2003","0241","","LGB"
"AA","08/14/2003","0281","","SNA"
"AA","08/14/2003","0289","","SEA"
"AA","08/14/2003","0293","","LGB"
"AA","08/14/2003","1169","","SJU"
"AA","08/14/2003","1309","","DFW"
"AA","08/14/2003","1411","","MIA"
"AA","08/14/2003","1639","","SJU"
"AA","08/14/2003","1751","","SJU"
"AA","08/14/2003","1829","","STL"
"AA","08/15/2003","0001","","LAX"
"AA","08/15/2003","0003","","LAX"
"AA","08/15/2003","0015","","SFO"
"AA","08/15/2003","0019","","LAX"
"AA","08/15/2003","0021","","LAX"
"AA","08/15/2003","0029","","LAX"
"AA","08/15/2003","0033","","LAX"
"AA","08/15/2003","0045","","SFO"
"AA","08/15/2003","0059","","SFO"
"AA","08/15/2003","0117","","LAX"
"AA","08/15/2003","0127","","SAN"
"AA","08/15/2003","0133","","LAX"
"AA","08/15/2003","0177","","SFO"
"AA","08/15/2003","0185","","LAX"
"AA","08/15/2003","0199","","SEA"
"AA","08/15/2003","0231","","SJC"
"AA","08/15/2003","0241","","LGB"
"AA","08/15/2003","0249","","SNA"
"AA","08/15/2003","0273","","SNA"
"AA","08/15/2003","0281","","SNA"
"AA","08/15/2003","0287","","SJC"
"AA","08/15/2003","0289","","SEA"
"AA","08/15/2003","0291","","LGB"
"AA","08/15/2003","0293","","LGB"
"AA","08/15/2003","0423","","MIA"
"AA","08/15/2003","0647","","SJU"
"AA","08/15/2003","0651","","MIA"
"AA","08/15/2003","0655","","STT"
"AA","08/15/2003","0699","","SJU"
"AA","08/15/2003","1165","","MIA"
"AA","08/15/2003","1169","","SJU"
"AA","08/15/2003","1295","","DFW"
"AA","08/15/2003","1309","","DFW"
"AA","08/15/2003","1411","","MIA"
"AA","08/15/2003","1473","","SJU"
"AA","08/15/2003","1581","","MIA"
"AA","08/15/2003","1635","","SJU"
"AA","08/15/2003","1639","","SJU"
"AA","08/15/2003","1751","","SJU"
"AA","08/15/2003","1829","","STL"
"AA","08/15/2003","2215","","STL"
"AA","08/16/2003","0001","","LAX"
"AA","08/16/2003","0033","","LAX"
"AA","08/16/2003","0045","","SFO"
"AA","08/16/2003","0059","","SFO"
"AA","08/16/2003","0273","","SNA"
"AA","08/17/2003","0281","","SNA"
"AA","08/26/2003","1309","","DFW"
"AA","08/28/2003","0651","","MIA"
"AA","09/08/2003","0117","","LAX"
"AA","09/11/2003","0870","","DFW"
"AA","09/18/2003","0547","","MIA"
"AA","09/18/2003","1165","","MIA"
"AA","09/18/2003","1411","","MIA"
"AA","09/30/2003","0249","","SNA"
"AA","10/04/2003","1751","","SJU"
"AA","10/06/2003","0033","","LAX"
"AA","10/12/2003","0033","","LAX"
"AA","10/20/2003","0647","","SJU"
"AA","10/22/2003","0185","","LAX"
"AA","10/24/2003","0033","","LAX"
"AA","10/26/2003","0117","","LAX"
"AA","10/26/2003","0241","","LGB"
"AA","10/27/2003","0019","","LAX"
"AA","10/27/2003","0033","","LAX"
"AA","11/16/2003","0059","","SFO"
"AA","11/17/2003","0185","","LAX"
"AA","11/18/2003","1639","","SJU"
"AA","11/28/2003","1176","","DFW"
"AA","12/05/2003","0127","","SAN"
"AA","12/05/2003","0185","","LAX"
"AA","12/05/2003","0241","","LGB"
"AA","12/05/2003","0281","","SNA"
"AA","12/05/2003","0293","","LGB"
"AA","12/05/2003","1169","","SJU"
"AA","12/05/2003","1751","","SJU"
"AA","12/05/2003","1957","","DFW"
"AA","12/06/2003","0003","","LAX"
"AA","12/06/2003","0019","","LAX"
"AA","12/06/2003","0021","","LAX"
"AA","12/06/2003","0045","","SFO"
