Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Delta Airlines Inc. (DL)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"DL","01/02/2003","2341","N244WA","MCO"
"DL","01/07/2003","2347","N303DL","PBI"
"DL","01/10/2003","1987","","SFO"
"DL","01/13/2003","1981","N807DE","ATL"
"DL","01/15/2003","2421","N375DL","TPA"
"DL","01/16/2003","1987","N174DN","SFO"
"DL","01/17/2003","1987","N193DN","SFO"
"DL","01/18/2003","1987","N195DN","SFO"
"DL","01/19/2003","1987","N180DN","SFO"
"DL","01/20/2003","1987","N188DN","SFO"
"DL","01/21/2003","1987","N171DN","SFO"
"DL","01/22/2003","2343","N320DL","TPA"
"DL","01/24/2003","1987","","SFO"
"DL","01/25/2003","0089","","LAX"
"DL","01/25/2003","1987","","SFO"
"DL","01/25/2003","2343","N382DL","TPA"
"DL","01/26/2003","0089","","LAX"
"DL","01/27/2003","1987","","SFO"
"DL","01/28/2003","1921","N698DL","FLL"
"DL","01/28/2003","1927","N698DL","FLL"
"DL","01/28/2003","1987","","SFO"
"DL","01/29/2003","1921","N659DL","FLL"
"DL","01/31/2003","1987","","SFO"
"DL","02/01/2003","1987","","SFO"
"DL","02/02/2003","1987","","SFO"
"DL","02/04/2003","1597","N696DA","FLL"
"DL","02/04/2003","1997","N1603","CVG"
"DL","02/05/2003","0089","","LAX"
"DL","02/06/2003","0089","","LAX"
"DL","02/06/2003","1987","","SFO"
"DL","02/07/2003","1719","N918DL","DFW"
"DL","02/07/2003","2347","N381DL","PBI"
"DL","02/08/2003","1987","N182DN","SFO"
"DL","02/08/2003","1989","N175DN","LAX"
"DL","02/09/2003","1987","N175DN","SFO"
"DL","02/10/2003","1987","N199DN","SFO"
"DL","02/10/2003","1989","N1609","LAX"
"DL","02/12/2003","1987","N182DN","SFO"
