Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021 and 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","01/13/2003","0003","","SFO"
"UA","01/18/2003","0897","","LAX"
"UA","02/07/2003","0003","","SFO"
"UA","02/07/2003","0009","","SFO"
"UA","02/17/2003","0003","","SFO"
"UA","02/17/2003","0005","","SFO"
"UA","02/17/2003","0009","","SFO"
"UA","02/17/2003","0011","","LAX"
"UA","02/17/2003","0017","","SFO"
"UA","02/17/2003","0019","","LAX"
"UA","02/17/2003","0021","","LAX"
"UA","02/17/2003","0025","","SEA"
"UA","02/17/2003","0027","","LAX"
"UA","02/17/2003","0853","","SFO"
"UA","02/17/2003","0863","","SFO"
"UA","02/17/2003","0897","","LAX"
"UA","02/17/2003","0905","","LAX"
"UA","03/07/2003","0897","","LAX"
"UA","03/10/2003","0017","","SFO"
"UA","03/11/2003","0027","","LAX"
"UA","03/22/2003","0021","","LAX"
"UA","04/04/2003","0897","","LAX"
"UA","06/12/2003","0019","","LAX"
"UA","06/27/2003","0007","","SFO"
"UA","07/03/2003","0007","","SFO"
"UA","07/06/2003","1668","","ORD"
"UA","07/11/2003","0021","","LAX"
"UA","08/14/2003","0011","","SFO"
"UA","08/14/2003","0863","","SFO"
"UA","08/14/2003","0905","","LAX"
"UA","08/15/2003","0005","","SFO"
"UA","08/15/2003","0007","","SFO"
"UA","08/15/2003","0011","","SFO"
"UA","08/15/2003","0019","","LAX"
"UA","08/15/2003","0021","","LAX"
"UA","08/15/2003","0905","","LAX"
"UA","09/10/2003","0021","","LAX"
"UA","10/26/2003","0003","","SFO"
"UA","10/27/2003","0015","","LAX"
"UA","11/21/2003","0905","","SFO"
"UA","12/03/2003","0021","N603UA","LAX"
"UA","12/06/2003","0003","","SFO"
"UA","12/06/2003","0815","","LAX"
"UA","12/06/2003","0905","","SFO"
"UA","12/09/2003","0905","","SFO"
"UA","01/01/2004","0003","","SFO"
"UA","01/07/2004","0003","","SFO"
"UA","01/18/2004","0019","N120UA","LAX"
"UA","01/25/2004","0019","","LAX"
"UA","01/28/2004","0003","","SFO"
"UA","01/28/2004","0015","","LAX"
"UA","01/30/2004","0003","","SFO"
"UA","03/09/2004","0853","","SFO"
"UA","05/31/2004","0007","","SFO"
"UA","06/15/2004","0019","N603UA","LAX"
"UA","06/16/2004","0009","","SFO"
"UA","06/19/2004","0019","","LAX"
"UA","06/20/2004","0019","","LAX"
"UA","06/27/2004","0003","","SFO"
"UA","07/01/2004","0007","","SFO"
"UA","07/16/2004","0029","","LAX"
"UA","07/17/2004","0009","","SFO"
"UA","08/10/2004","0021","","LAX"
"UA","08/26/2004","0009","","SFO"
"UA","09/12/2004","0007","","SFO"
"UA","09/29/2004","0017","","LAX"
"UA","10/05/2004","0015","","LAX"
"UA","10/12/2004","0015","","LAX"
"UA","10/28/2004","0011","","SFO"
"UA","10/31/2004","0905","","SFO"
"UA","11/02/2004","0015","","LAX"
"UA","11/08/2004","0015","","LAX"
"UA","12/22/2004","0017","","LAX"
"UA","01/01/2005","0025","","LAX"
"UA","01/07/2005","0027","","SFO"
"UA","01/17/2005","0005","","SFO"
"UA","01/19/2005","0015","","LAX"
"UA","01/21/2005","0019","","LAX"
"UA","01/22/2005","0011","","SFO"
"UA","01/22/2005","0025","","LAX"
"UA","01/22/2005","0029","","LAX"
"UA","01/22/2005","0839","","LAX"
"UA","01/22/2005","0905","","SFO"
"UA","01/23/2005","0005","","SFO"
"UA","01/23/2005","0007","","SFO"
"UA","01/23/2005","0009","","SFO"
"UA","01/23/2005","0011","","SFO"
"UA","01/23/2005","0015","","LAX"
"UA","01/23/2005","0017","","LAX"
"UA","01/23/2005","0019","","LAX"
"UA","01/23/2005","0025","","LAX"
"UA","01/23/2005","0027","","SFO"
"UA","01/23/2005","0029","","LAX"
"UA","01/23/2005","0839","","LAX"
"UA","01/23/2005","0905","","SFO"
"UA","02/07/2005","0027","N617UA","SFO"
"UA","02/12/2005","0009","","SFO"
"UA","02/28/2005","0029","","LAX"
"UA","03/01/2005","0015","","LAX"
"UA","03/01/2005","0027","","SFO"
"UA","03/02/2005","0029","","LAX"
"UA","03/05/2005","0905","","SFO"
"UA","03/08/2005","0839","","LAX"
"UA","03/12/2005","0072","","SFO"
"UA","05/21/2005","0011","","SFO"
"UA","05/27/2005","0009","","SFO"
"UA","06/02/2005","0005","","SFO"
"UA","08/01/2005","0009","","SFO"
"UA","08/11/2005","0017","N560UA","LAX"
"UA","10/25/2005","0015","","LAX"
"UA","12/02/2005","0005","","SFO"
"UA","12/17/2005","0005","","SFO"
"UA","12/20/2005","0009","","SFO"
"UA","12/31/2005","0005","","SFO"
"UA","12/31/2005","0025","","LAX"
"UA","01/01/2006","0009","","SFO"
"UA","01/01/2006","0015","","LAX"
"UA","01/06/2006","0005","","SFO"
"UA","01/06/2006","0011","","LAX"
"UA","01/09/2006","0015","","SFO"
"UA","02/09/2006","0005","","SFO"
"UA","02/12/2006","0005","","SFO"
"UA","02/12/2006","0007","","SFO"
"UA","02/12/2006","0009","","SFO"
"UA","02/12/2006","0011","","SFO"
"UA","02/12/2006","0015","","SFO"
"UA","02/12/2006","0021","","LAX"
"UA","02/12/2006","0023","","LAX"
"UA","02/12/2006","0025","","LAX"
"UA","02/12/2006","0027","","LAX"
"UA","02/12/2006","0029","","LAX"
"UA","02/12/2006","0033","","LAX"
"UA","02/12/2006","0839","","LAX"
"UA","02/12/2006","0905","","SFO"
"UA","02/13/2006","0005","","SFO"
"UA","02/13/2006","0007","","SFO"
"UA","02/13/2006","0011","","SFO"
"UA","02/13/2006","0021","","LAX"
"UA","02/13/2006","0023","","LAX"
"UA","02/13/2006","0025","","LAX"
"UA","03/05/2006","0005","","SFO"
"UA","03/05/2006","0007","","SFO"
"UA","03/05/2006","0029","","LAX"
"UA","03/06/2006","0025","","LAX"
"UA","03/08/2006","0021","","LAX"
"UA","03/25/2006","0029","","LAX"
"UA","04/05/2006","0031","","LAX"
"UA","04/16/2006","0015","","SFO"
"UA","06/26/2006","0023","","LAX"
"UA","07/22/2006","0009","","SFO"
"UA","07/25/2006","0015","","SFO"
"UA","07/27/2006","0905","N555UA","SFO"
